pair_model,ideology,think_outcome,delta_stage1_tokens__count,delta_stage1_tokens__mean,delta_stage1_tokens__median,delta_stage1_tokens__std,delta_visible_words__count,delta_visible_words__mean,delta_visible_words__median,delta_visible_words__std,delta_classification_entropy__count,delta_classification_entropy__mean,delta_classification_entropy__median,delta_classification_entropy__std,delta_classification_margin__count,delta_classification_margin__mean,delta_classification_margin__median,delta_classification_margin__std,delta_target_projection_expected__count,delta_target_projection_expected__mean,delta_target_projection_expected__median,delta_target_projection_expected__std,think_words_think__count,think_words_think__mean,think_words_think__median,think_words_think__std,think_hedging_present_think__count,think_hedging_present_think__mean,think_hedging_present_think__median,think_hedging_present_think__std,think_self_correction_present_think__count,think_self_correction_present_think__mean,think_self_correction_present_think__median,think_self_correction_present_think__std,think_persona_meta_present_think__count,think_persona_meta_present_think__mean,think_persona_meta_present_think__median,think_persona_meta_present_think__std
Qwen3-32B,authoritarian_right,think_harm,960,601.9885416666667,511.5,341.7141553958089,960,-33.10625,-10.5,68.05375078059708,960,0.0005685188068382909,0.00125991306432739,0.148196455421092,960,-0.002460097560513724,-0.0003122127569078481,0.09775975518847464,960,-0.6618850232722021,-0.5102359785775836,0.32644357703366217,960,515.1,444.0,276.5659715160664,960,0.99375,1.0,0.07885058004154706,960,0.75625,1.0,0.4295674037068272,960,0.6854166666666667,1.0,0.4645917549671484
Qwen3-32B,authoritarian_right,think_rescue,1429,487.25332400279916,422.0,262.38659588091934,1429,-31.86074177746676,-9.0,64.64538739751124,1429,-0.06793840634261511,-0.02005864218481667,0.18253964915991003,1429,0.04364722467675301,0.004340053584751313,0.165936205430937,1429,0.6127651798710031,0.46076234569358254,0.3172476981812075,1429,420.5101469559132,369.0,217.8459917521032,1429,0.9811056682995102,1.0,0.13619954940367401,1429,0.6969909027291813,1.0,0.45972000131499463,1429,0.6382085374387684,1.0,0.48068710585638214
Qwen3-32B,base,not_comparable,18600,607.8411290322581,523.0,360.5372561132401,18600,-24.531666666666666,-4.0,64.70896075536614,18600,-0.02406989081665285,-0.007850307254790306,0.1424950966926844,18600,0.010079187981001521,0.0016037395880888483,0.09669278008363974,0,,,,18600,508.4434946236559,443.0,297.610663859708,18600,0.9613978494623656,1.0,0.19264999322324855,18600,0.6394623655913978,1.0,0.4801693913867775,18600,0.5483333333333333,1.0,0.49767178427920317
Qwen3-32B,centrism,not_comparable,18600,436.4058064516129,394.0,209.54591362600212,18600,-34.45709677419355,-14.0,61.861303668927164,18600,-0.023936762345428984,-0.007846372342699574,0.13893851915344135,18600,0.010081849427901201,0.0017126165724019593,0.09537046805641934,0,,,,18600,379.3682795698925,343.0,167.39373518093092,18600,0.9765591397849462,1.0,0.1513030636613027,18600,0.5325268817204301,1.0,0.49895429316095935,18600,0.6428494623655914,1.0,0.47917259471995466
Qwen3-32B,libertarian_left,both_aligned,15965,357.40557469464454,326.0,175.70257915926578,15965,-35.5239586595678,-16.0,61.91745303297777,15965,-0.01679392358072771,-0.004040816977290624,0.10280780067511595,15965,0.005959145447331691,0.0007691427039202559,0.07358377722431542,15965,0.008155194707056375,0.00018589312647646072,0.0666112025385495,15965,321.63927341058564,291.0,146.62103228892335,15965,0.9323520200438459,1.0,0.25114872413898903,15965,0.4683996241778891,0.0,0.499016045765268,15965,0.6135922330097088,1.0,0.4869411222797703
Qwen3-32B,libertarian_left,both_unaligned,580,457.87068965517244,394.0,248.157999219006,580,-48.16034482758621,-23.0,71.65702334523489,580,-0.031668117798384444,-0.0075922630308734,0.1487093471547518,580,0.014073268265210883,0.0016414567386899281,0.1291213627536066,580,-0.03788998801067168,-0.0009984833072498034,0.12391364659638775,580,414.07586206896553,365.0,202.508204324595,580,0.9793103448275862,1.0,0.14246609230819293,580,0.7413793103448276,1.0,0.4382546963191728,580,0.5637931034482758,1.0,0.4963418079111485
Qwen3-32B,libertarian_left,not_comparable,300,400.61333333333334,356.0,193.29358981032306,300,-38.693333333333335,-24.5,60.328415205103965,300,-0.019990762774506007,-0.0055120359349993715,0.07019327113169534,300,0.008007571405675405,0.0011479469895575023,0.039550744390385056,0,,,,300,355.3333333333333,309.0,160.94082365251126,300,0.9833333333333333,1.0,0.1282329958564094,300,0.75,1.0,0.43373619897468013,300,0.5133333333333333,1.0,0.5006573159847486
Qwen3-32B,libertarian_left,think_harm,651,598.184331797235,509.0,347.0452461748918,651,-48.60215053763441,-19.0,79.6963463788479,651,-0.014589424513735785,-0.003529140231053285,0.15765430246652298,651,0.0035537077615042717,0.0009015203002612493,0.10704547857160067,651,-0.7364144926790179,-0.7464950723803494,0.3027273494257277,651,530.952380952381,455.0,281.9535955376876,651,0.989247311827957,1.0,0.10321546681053405,651,0.8033794162826421,1.0,0.397748597220711,651,0.5990783410138248,1.0,0.49046202237452097
Qwen3-32B,libertarian_left,think_rescue,1104,422.62409420289856,373.0,218.2754566517118,1104,-29.517210144927535,-10.0,61.71451596273177,1104,-0.07684342900879534,-0.03135255866168618,0.2162316139215071,1104,0.04504096427759324,0.007293165250875755,0.18677417282132175,1104,0.5110122233733844,0.45274546855324027,0.23628241941953806,1104,366.8777173913044,326.0,181.04641564074794,1104,0.9411231884057971,1.0,0.23550067658724963,1104,0.5978260869565217,1.0,0.49055890064634494,1104,0.6494565217391305,1.0,0.4773564195927632
Qwen3-32B,libertarian_right,both_aligned,12566,392.4869489097565,353.0,192.6179820688737,12566,-31.804551965621517,-14.0,59.584091048355226,12566,-0.019251453620124728,-0.004380995111011981,0.098308673455379,12566,0.006644006025789403,0.0008709842170338544,0.06561683229016671,12566,0.01021960200865342,0.00025055009375256343,0.06375491510343595,12566,341.75385962120004,310.0,156.5492355987684,12566,0.9150883335985994,1.0,0.2787612944576071,12566,0.5513289829699188,1.0,0.4973781482558994,12566,0.6192105681999045,1.0,0.4856002532494744
