scope,ideology,phrase,ngram_n,discovery_log_odds,confirmation_log_odds,same_direction,target_confirmation_df,other_confirmation_df,target_confirmation_rate,other_confirmation_rate,odds_ratio,p_value,q_value_bh,confirmed_q05
all,authoritarian_left,capitalist hierarchies,2,6.82204964742618,5.596830030072962,True,134,1,0.002126984126984127,5.291005291005291e-06,402.8547386504629,1.9255012067332343e-79,3.459690877904553e-79,True
all,authoritarian_left,the vanguard,2,6.725466452114249,5.587942018578343,True,44,0,0.0006984126984126984,0.0,inf,3.1949788739402102e-27,3.4421725972624696e-27,True
all,authoritarian_left,vanguard,1,7.020838929327501,5.5289384809966675,True,292,3,0.004634920634920635,1.5873015873015872e-05,293.3550424188301,1.7117984445092175e-170,6.151430539300865e-170,True
all,authoritarian_left,of bourgeois,2,7.6022143478917314,5.385809147135998,True,612,8,0.009714285714285713,4.232804232804233e-05,231.74148874783612,0.0,0.0,True
all,authoritarian_left,bourgeois,1,8.1346237982153,5.343378608674261,True,2511,37,0.039857142857142855,0.00019576719576719576,212.00463653655143,0.0,0.0,True
all,authoritarian_left,alignment with socialist,3,6.4138917393538,5.303823559682359,True,33,0,0.0005238095238095238,0.0,inf,1.3467588812731382e-20,1.3995236881886903e-20,True
all,authoritarian_left,planned equitable,2,6.433445791966204,5.273502329104575,True,32,0,0.0005079365079365079,0.0,inf,5.389088772100514e-20,5.558745270481456e-20,True
all,authoritarian_left,personal autonomy and,3,6.423716358432256,5.273502329104575,True,32,0,0.0005079365079365079,0.0,inf,5.389088772100514e-20,5.558745270481456e-20,True
all,authoritarian_left,of planned,2,6.658091314267548,5.188788909842383,True,89,1,0.0014126984126984128,5.291005291005291e-06,267.37630938945495,1.6883518647851117e-52,2.2023699969210943e-52,True
all,authoritarian_left,bourgeois or,2,6.253668121088483,5.136845986575463,True,141,2,0.0022380952380952382,1.0582010582010582e-05,211.972175822078,6.57205163325623e-82,1.2161570630311362e-81,True
all,authoritarian_left,socialist values and,3,6.5606012291935,5.06931169156235,True,26,0,0.0004126984126984127,0.0,inf,2.2118701921672763e-16,2.2359558929894245e-16,True
all,authoritarian_left,broader socialist,2,6.471447508708306,4.991581397594847,True,73,1,0.0011587301587301588,5.291005291005291e-06,219.2528962130723,6.058921724178193e-43,7.25767612982205e-43,True
all,authoritarian_left,the bourgeoisie,2,7.150328579931762,4.926969399360283,True,388,8,0.006158730158730159,4.232804232804233e-05,146.39545135117868,1.463830499127486e-219,6.575432161403303e-219,True
all,authoritarian_left,authoritarian leftists,2,6.854413717339659,4.9051068179086625,True,246,5,0.003904761904761905,2.6455026455026456e-05,148.1746820919782,1.0454716498229969e-139,3.097487813571326e-139,True
all,authoritarian_left,bourgeoisie,1,7.546013061564479,4.816887946610904,True,672,16,0.010666666666666666,8.465608465608466e-05,127.3477088948787,0.0,0.0,True
all,authoritarian_left,reactionary forces,2,6.517012994702831,4.653111742070884,True,226,6,0.0035873015873015873,3.1746031746031745e-05,113.40322426482301,2.3259809919737188e-126,6.169387678711244e-126,True
all,authoritarian_left,dismantle capitalist,2,6.642485537217894,4.41107803798579,True,232,8,0.0036825396825396826,4.232804232804233e-05,87.3178689778231,3.77522331022747e-127,1.015845112945266e-126,True
all,authoritarian_left,to dismantle capitalist,3,6.4039700498143866,4.184494191976911,True,185,8,0.0029365079365079364,4.232804232804233e-05,69.57637506964898,1.429433381311693e-99,3.0741096269907838e-99,True
all,authoritarian_left,nationalization of key,3,6.3208560336827295,4.005102964784533,True,191,10,0.0030317460317460317,5.291005291005291e-05,57.471206355777035,1.1154698254434077e-100,2.4270183311405394e-100,True
all,authoritarian_right,authoritarian right political,3,9.773385551356643,9.948344489113845,True,3303,0,0.05242857142857143,0.0,inf,0.0,0.0,True
all,authoritarian_right,authoritarian right prioritizes,3,9.075809985493818,9.366264299401864,True,1889,0,0.029984126984126985,0.0,inf,0.0,0.0,True
all,authoritarian_right,authoritarian right typically,3,9.12837225134648,9.362438198120492,True,1882,0,0.029873015873015874,0.0,inf,0.0,0.0,True
all,authoritarian_right,authoritarian right's emphasis,3,8.591671311934096,9.017855372353718,True,1345,0,0.02134920634920635,0.0,inf,0.0,0.0,True
all,authoritarian_right,authoritarian right often,3,8.815373181896657,8.921661684263736,True,1224,0,0.019428571428571427,0.0,inf,0.0,0.0,True
all,authoritarian_right,economic freedom,2,6.767999448771391,8.80079535447048,True,1087,0,0.017253968253968254,0.0,inf,0.0,0.0,True
