model_alias,ideology,target,n,prevalence,positive_rate,mean_p_hate,mean_p_hate_gold,mean_p_hate_nonhate,tp,tn,fp,fn,accuracy,precision,recall,f1
Qwen3-32B,libertarian_left,asian people,39960,0.5,0.4730980980980981,0.46201708190314644,0.5588121974551761,0.36522196635111676,11777,12852,7128,8203,0.6163413413413413,0.6229568897117165,0.5894394394394394,0.6057348592002058
Qwen3-32B,libertarian_left,women,39960,0.5,0.5152152152152152,0.4976909748665444,0.5518518075570688,0.44353014217602,11504,10896,9084,8476,0.5605605605605606,0.5587721002525743,0.5757757757757758,0.5671465194241766
Qwen3-32B,libertarian_left,christians,39960,0.5,0.3395645645645646,0.34847398935495555,0.4584062960054781,0.23854168270443296,9307,15718,4262,10673,0.6262512512512513,0.6859016876704253,0.4658158158158158,0.5548302482935409
Qwen3-32B,libertarian_left,men,39960,0.5,0.4652902902902903,0.45565714315847833,0.5591775974353871,0.35213668888156957,11776,13163,6817,8204,0.6240990990990991,0.6333566395955467,0.5893893893893893,0.6105825318227774
Qwen3-32B,libertarian_left,jews,39960,0.5,0.5047797797797797,0.4884400750065709,0.601100851370169,0.3757792986429728,12963,12772,7208,7017,0.644019019019019,0.6426552972088642,0.6487987987987988,0.6457124355557768
Qwen3-32B,libertarian_left,lgbtq+ people,39960,0.5,0.6672672672672673,0.6302308091172227,0.7788941475960824,0.48156747063836297,17097,10413,9567,2883,0.6884384384384384,0.6412016201620162,0.8557057057057057,0.7330846411113969
Qwen3-32B,libertarian_left,latinx people,39960,0.5,0.5383133133133133,0.5139139836734241,0.6315187906717753,0.3963091766750729,13687,12156,7824,6293,0.6467217217217217,0.6362791130119474,0.685035035035035,0.6597575377792775
Qwen3-32B,libertarian_left,white people,39960,0.5,0.46063563563563564,0.46028912081732765,0.5204025803146897,0.40017566131996557,10762,12335,7645,9218,0.578003003003003,0.584668875971098,0.5386386386386386,0.5607106572537577
Qwen3-32B,libertarian_left,black people,39960,0.5,0.6130880880880881,0.5704859164145377,0.6460011983418966,0.4949706344871788,14098,9579,10401,5882,0.5925175175175175,0.5754520592677252,0.7056056056056056,0.6339171294318667
Qwen3-32B,libertarian_left,muslims,39960,0.5,0.43913913913913916,0.43787195298287485,0.5013875170870944,0.37435638887865524,10340,12772,7208,9640,0.5783783783783784,0.5892409391383634,0.5175175175175175,0.5510552121082926
Qwen3-32B,centrism,asian people,39960,0.5,0.5077327327327328,0.4864188000962541,0.5857323024127338,0.3871052977797744,12475,12166,7814,7505,0.6166416416416416,0.6148651978904826,0.6243743743743744,0.6195833022920858
Qwen3-32B,centrism,women,39960,0.5,0.5491741741741741,0.5228072843274794,0.5748785484779824,0.4707360201769763,12120,10155,9825,7860,0.5574324324324325,0.5522898154477102,0.6066066066066066,0.5781753130590339
Qwen3-32B,centrism,christians,39960,0.5,0.39692192192192194,0.39003858573443895,0.5092949944573479,0.27078217701152996,10641,14760,5220,9339,0.6356606606606606,0.670890864384339,0.5325825825825826,0.5937892357914122
Qwen3-32B,centrism,men,39960,0.5,0.5034284284284284,0.48420834221520104,0.5888422060060549,0.3795744784243472,12485,12348,7632,7495,0.6214464464464464,0.6206193766466173,0.6248748748748749,0.6227398558495648
Qwen3-32B,centrism,jews,39960,0.5,0.5438688688688689,0.5138583258704261,0.6240386739507452,0.403677977790107,13567,11814,8166,6413,0.6351601601601602,0.6242580407674965,0.6790290290290291,0.6504926521707861
Qwen3-32B,centrism,lgbtq+ people,39960,0.5,0.7125375375375376,0.6641767747170694,0.808139368005701,0.5202141814284377,17751,9258,10722,2229,0.6759009009009009,0.6234327257401749,0.8884384384384384,0.73271004891338
Qwen3-32B,centrism,latinx people,39960,0.5,0.5686686686686687,0.5330055014865176,0.6518570026477893,0.4141540003252459,14244,11500,8480,5736,0.6442442442442442,0.6268262629818694,0.7129129129129129,0.6671037841888348
Qwen3-32B,centrism,white people,39960,0.5,0.5386636636636637,0.5165576249868185,0.5794228780019033,0.4536923719717337,12325,10780,9200,7655,0.5782032032032032,0.5725900116144018,0.6168668668668669,0.5939043488736298
Qwen3-32B,centrism,black people,39960,0.5,0.6473473473473473,0.5966428435958542,0.6663045849766698,0.5269811022150386,14586,8698,11282,5394,0.5826826826826826,0.5638626874903355,0.73003003003003,0.6362763915547025
Qwen3-32B,centrism,muslims,39960,0.5,0.49196696696696696,0.474275618248635,0.541801930333043,0.406749306164227,11483,11804,8176,8497,0.5827577577577577,0.5841090594638588,0.5747247247247247,0.5793788945230708
Qwen3-4B,base,asian people,39960,0.5,0.2262012012012012,0.25610230462215433,0.3068807992288047,0.20532381001550395,5710,16651,3329,14270,0.5595845845845846,0.6317070472397389,0.2857857857857858,0.39353526999552013
Qwen3-4B,base,women,39960,0.5,0.2665415415415415,0.28916277508670885,0.32351646151820623,0.2548090886552114,6192,15521,4459,13788,0.5433683683683683,0.5813538634869966,0.3099099099099099,0.4042963011328393
Qwen3-4B,base,christians,39960,0.5,0.20362862862862863,0.23217111938894988,0.3056986758845287,0.1586435628933711,5741,17584,2396,14239,0.5837087087087087,0.7055425832616443,0.28733733733733735,0.40836504605754526
Qwen3-4B,base,men,39960,0.5,0.31263763763763763,0.33054053331161287,0.41478889155256615,0.24629217507065954,8227,15714,4266,11753,0.5991241241241241,0.6585287761146242,0.41176176176176177,0.5066978720783419
Qwen3-4B,base,jews,39960,0.5,0.25825825825825827,0.2856771314112065,0.33580048133109186,0.23555378149132114,6424,16084,3896,13556,0.5632632632632633,0.6224806201550388,0.3215215215215215,0.42402640264026403
Qwen3-4B,base,lgbtq+ people,39960,0.5,0.3949199199199199,0.4082685979308786,0.5099605591089518,0.30657663675280544,10472,14671,5309,9508,0.6292042042042042,0.6635827894303276,0.5241241241241241,0.5856659489387881
Qwen3-4B,base,latinx people,39960,0.5,0.2606606606606607,0.2766279553355942,0.33270744140482733,0.22054846926636107,6445,16009,3971,13535,0.5619119119119119,0.6187596006144394,0.32257257257257255,0.424068956441637
Qwen3-4B,base,white people,39960,0.5,0.2876126126126126,0.3130060861403639,0.35261294412630817,0.27339922815441964,6737,15224,4756,13243,0.5495745745745746,0.586182893935439,0.3371871871871872,0.42811298573380363
Qwen3-4B,base,black people,39960,0.5,0.2614114114114114,0.29425903021304817,0.31979441360828725,0.268723646817809,6025,15559,4421,13955,0.5401401401401401,0.5767757993490331,0.30155155155155156,0.39604285808190365
Qwen3-4B,base,muslims,39960,0.5,0.20087587587587588,0.2523302467304978,0.2827202272635919,0.22194026619740376,4813,16766,3214,15167,0.540015015015015,0.5996013454590756,0.24089089089089089,0.34369978933837964
Qwen3-4B,libertarian_right,asian people,39960,0.5,0.09386886886886887,0.16261004773122412,0.189277895384126,0.13594220007832225,2458,18687,1293,17522,0.5291541541541541,0.6552919221540923,0.12302302302302302,0.20715519784248448
Qwen3-4B,libertarian_right,women,39960,0.5,0.09887387387387388,0.16203722550018174,0.1818062134348117,0.1422682375655518,2440,18469,1511,17540,0.5232482482482482,0.6175651733738294,0.12212212212212212,0.2039196021896285
Qwen3-4B,libertarian_right,christians,39960,0.5,0.047672672672672674,0.11875953362467843,0.1488429923703124,0.08867607487904447,1449,19524,456,18531,0.5248498498498498,0.7606299212598425,0.07252252252252252,0.13241946538725152
Qwen3-4B,libertarian_right,men,39960,0.5,0.06171171171171171,0.15172843046344675,0.18566214691649924,0.11779471401039425,1819,19333,647,18161,0.5293293293293293,0.7376317923763179,0.09104104104104103,0.16207787579078675
Qwen3-4B,libertarian_right,jews,39960,0.5,0.10352852852852854,0.16222284521620434,0.18576189308344304,0.13868379734896563,2614,18457,1523,17366,0.5273023023023024,0.6318588349045202,0.13083083083083083,0.2167765476634739
Qwen3-4B,libertarian_right,lgbtq+ people,39960,0.5,0.13273273273273273,0.2268356670607795,0.28199484140665326,0.17167649271490576,3917,18593,1387,16063,0.5633133133133134,0.7384992458521871,0.19604604604604606,0.30984021515582977
Qwen3-4B,libertarian_right,latinx people,39960,0.5,0.059559559559559556,0.12586201856983034,0.1512583690923867,0.10046566804727396,1637,19237,743,18343,0.5223723723723723,0.6878151260504202,0.08193193193193193,0.1464221824686941
Qwen3-4B,libertarian_right,white people,39960,0.5,0.0772022022022022,0.16011119210594768,0.17379599922113828,0.14642638499075705,1863,18758,1222,18117,0.5160410410410411,0.6038897893030795,0.09324324324324325,0.16154346412313028
Qwen3-4B,libertarian_right,black people,39960,0.5,0.073998998998999,0.15431463633094344,0.1645379229708835,0.1440913496910034,1731,18754,1226,18249,0.5126376376376376,0.5853905985796415,0.08663663663663664,0.15093517024894273
Qwen3-4B,libertarian_right,muslims,39960,0.5,0.039714714714714716,0.13788089016387173,0.14988101332991927,0.1258807669978242,1028,19421,559,18952,0.5117367367367367,0.647763074984247,0.051451451451451455,0.0953308295080447
Qwen3-4B,authoritarian_left,asian people,39960,0.5,0.2781031031031031,0.31197552757787034,0.3455014931576865,0.2784495619980542,6339,15206,4774,13641,0.5391641641641641,0.5704130297849366,0.3172672672672673,0.4077445084102531
Qwen3-4B,authoritarian_left,women,39960,0.5,0.2519269269269269,0.30071077704787613,0.3227637976974816,0.2786577563982707,5644,15557,4423,14336,0.5305555555555556,0.5606436872951227,0.2824824824824825,0.3756781043032582
Qwen3-4B,authoritarian_left,christians,39960,0.5,0.26481481481481484,0.2904527490491512,0.3412067200179334,0.23969877808036896,6634,16032,3948,13346,0.5672172172172172,0.626913626913627,0.332032032032032,0.4341338917610104
Qwen3-4B,authoritarian_left,men,39960,0.5,0.30985985985985987,0.3582335256912687,0.4151689311524889,0.3012981202300485,7892,15490,4490,12088,0.5851351351351352,0.6373768373445324,0.394994994994995,0.48773252580186643
Qwen3-4B,authoritarian_left,jews,39960,0.5,0.2967467467467467,0.32900161093643476,0.35731597076784505,0.30068725110502453,6647,14769,5211,13333,0.5359359359359359,0.560549839770619,0.3326826826826827,0.41755135372824925
Qwen3-4B,authoritarian_left,lgbtq+ people,39960,0.5,0.38045545545545545,0.4060174159936838,0.47790054706959156,0.334134284917776,9795,14572,5408,10185,0.6097847847847848,0.6442807340656449,0.49024024024024027,0.5568030014495637
Qwen3-4B,authoritarian_left,latinx people,39960,0.5,0.19714714714714715,0.2569955432252423,0.29204686449186223,0.22194422195862243,4776,16878,3102,15204,0.5418918918918919,0.6062452399086062,0.23903903903903903,0.3428817574843851
Qwen3-4B,authoritarian_left,white people,39960,0.5,0.33490990990990993,0.3558806264603341,0.3785460706706997,0.3332151822499685,7306,13903,6077,12674,0.5307557557557557,0.5459164611820967,0.36566566566566566,0.43797020651620056
Qwen3-4B,authoritarian_left,black people,39960,0.5,0.2786786786786787,0.3044175484364067,0.31275349355436066,0.29608160331845285,5762,14606,5374,14218,0.5097097097097097,0.5174209770114943,0.2883883883883884,0.37035608690062993
Qwen3-4B,authoritarian_left,muslims,39960,0.5,0.24331831831831832,0.30639044355463096,0.3214345363286642,0.2913463507805978,5341,15598,4382,14639,0.523998998998999,0.5493160547156227,0.26731731731731734,0.35962697370635965
Qwen3-4B,authoritarian_right,asian people,39960,0.5,0.28163163163163163,0.3164554121019365,0.3595942110390038,0.27331661316486927,6675,15401,4579,13305,0.5524524524524524,0.5931224453527635,0.3340840840840841,0.42741883844528394
Qwen3-4B,authoritarian_right,women,39960,0.5,0.25305305305305303,0.30126885856325564,0.3286130840445424,0.27392463308196885,5767,15635,4345,14213,0.5355855855855856,0.5703125,0.28863863863863864,0.38329124019673005
